"Assessor"	"TVset"	"Picture"	"Repeat"	"Coloursaturation"
"1"	"1"	"TV3"	"1"	"0"	10.4
"2"	"1"	"TV2"	"1"	"0"	9.9
"3"	"1"	"TV1"	"1"	"0"	7
"4"	"1"	"TV3"	"1"	"1"	9.8
"5"	"1"	"TV2"	"1"	"1"	10.6
"6"	"1"	"TV1"	"1"	"1"	7.5
"7"	"1"	"TV3"	"2"	"0"	7.1
"8"	"1"	"TV2"	"2"	"0"	9.9
"9"	"1"	"TV1"	"2"	"0"	5
"10"	"1"	"TV3"	"2"	"1"	10
"11"	"1"	"TV2"	"2"	"1"	10.5
"12"	"1"	"TV1"	"2"	"1"	7.6
"13"	"1"	"TV3"	"3"	"0"	10.1
"14"	"1"	"TV2"	"3"	"0"	10.8
"15"	"1"	"TV1"	"3"	"0"	7.8
"16"	"1"	"TV3"	"3"	"1"	9.6
"17"	"1"	"TV2"	"3"	"1"	10.3
"18"	"1"	"TV1"	"3"	"1"	7.2
"19"	"2"	"TV3"	"1"	"0"	7
"20"	"2"	"TV2"	"1"	"0"	9
"21"	"2"	"TV1"	"1"	"0"	8.3
"22"	"2"	"TV3"	"1"	"1"	7.1
"23"	"2"	"TV2"	"1"	"1"	8.3
"24"	"2"	"TV1"	"1"	"1"	7.8
"25"	"2"	"TV3"	"2"	"0"	7.6
"26"	"2"	"TV2"	"2"	"0"	8.3
"27"	"2"	"TV1"	"2"	"0"	9.1
"28"	"2"	"TV3"	"2"	"1"	7.8
"29"	"2"	"TV2"	"2"	"1"	8.1
"30"	"2"	"TV1"	"2"	"1"	7.9
"31"	"2"	"TV3"	"3"	"0"	6.7
"32"	"2"	"TV2"	"3"	"0"	8.9
"33"	"2"	"TV1"	"3"	"0"	8.1
"34"	"2"	"TV3"	"3"	"1"	7.5
"35"	"2"	"TV2"	"3"	"1"	8.6
"36"	"2"	"TV1"	"3"	"1"	7.8
"37"	"3"	"TV3"	"1"	"0"	8.1
"38"	"3"	"TV2"	"1"	"0"	11.2
"39"	"3"	"TV1"	"1"	"0"	5.8
"40"	"3"	"TV3"	"1"	"1"	5.2
"41"	"3"	"TV2"	"1"	"1"	10.2
"42"	"3"	"TV1"	"1"	"1"	8.5
"43"	"3"	"TV3"	"2"	"0"	4.7
"44"	"3"	"TV2"	"2"	"0"	11.1
"45"	"3"	"TV1"	"2"	"0"	6.1
"46"	"3"	"TV3"	"2"	"1"	6.3
"47"	"3"	"TV2"	"2"	"1"	10.4
"48"	"3"	"TV1"	"2"	"1"	8.2
"49"	"3"	"TV3"	"3"	"0"	4.6
"50"	"3"	"TV2"	"3"	"0"	11.5
"51"	"3"	"TV1"	"3"	"0"	6.8
"52"	"3"	"TV3"	"3"	"1"	5.2
"53"	"3"	"TV2"	"3"	"1"	11.1
"54"	"3"	"TV1"	"3"	"1"	8.8
"55"	"4"	"TV3"	"1"	"0"	7
"56"	"4"	"TV2"	"1"	"0"	10.3
"57"	"4"	"TV1"	"1"	"0"	8.3
"58"	"4"	"TV3"	"1"	"1"	6.8
