"school","class","sex","sc","ravens","pupil","english.0","maths.0","english.1","maths.1"
"1","1","0","9",23,1,72,23,80,24
"1","1","1","2",15,2,7,14,17,11
"1","1","1","2",22,3,88,36,89,32
"1","1","1","9",14,4,12,24,25,26
"1","1","0","9",19,5,67,22,78,23
"1","1","0","4",16,6,52,19,76,23
"1","1","1","9",17,7,37,22,68,22
"1","1","0","9",21,8,57,18,86,29
"1","1","1","4",30,9,42,30,59,31
"1","1","0","5",25,10,46,29,79,29
"1","1","0","4",32,11,69,31,84,28
"1","1","0","4",15,12,54,18,74,26
"1","1","0","2",29,14,83,39,88,35
"1","1","0","7",34,15,37,24,44,30
"1","1","1","5",27,16,15,25,20,29
"1","1","1","4",21,17,43,27,55,30
"1","2","0","9",17,19,52,14,84,10
"1","2","1","4",22,20,11,14,23,20
"1","2","0","9",15,21,27,16,50,15
"1","2","1","4",25,22,79,30,87,29
"1","2","1","4",21,23,65,19,71,19
"1","2","1","3",20,24,23,11,22,8
"1","2","1","3",23,25,37,22,67,25
"1","2","1","4",16,26,33,19,50,18
"1","2","0","4",34,27,64,29,76,29
"1","2","1","3",20,28,10,22,17,12
"1","2","1","4",20,29,27,21,25,24
"1","2","0","3",30,30,42,19,70,25
"1","2","1","4",31,31,34,17,46,17
"1","2","0","6",24,32,83,28,86,27
"1","2","1","4",24,33,8,11,11,10
"1","2","0","4",14,35,27,14,61,16
"2","1","0","2",31,37,27,19,38,30
"2","1","1","3",25,39,70,30,86,31
"2","1","1","2",29,41,78,33,89,32
"2","1","0","9",33,42,42,18,73,20
"2","1","0","4",28,43,81,24,81,32
"2","1","1","9",26,44,19,28,30,29
"2","1","1","9",15,45,54,25,81,29
"2","1","1","2",34,46,88,34,90,37
"2","1","1","9",25,48,63,28,81,30
"2","1","0","9",20,50,37,22,79,29
"2","1","0","6",14,51,8,14,40,26
"2","2","0","2",22,52,3,17,34,15
"3","1","0","2",27,60,74,31,84,32
"3","1","0","4",35,61,72,33,77,30
"3","1","0","5",35,62,81,34,85,34
"3","1","1","4",24,67,57,23,66,29
"3","1","1","6",26,68,51,33,79,31
"3","1","1","5",21,69,59,24,76,9
"3","1","0","4",29,70,30,18,48,18
"3","1","0","7",31,73,67,27,80,27
"3","1","1","4",22,74,34,30,44,24
"3","1","1","4",25,75,55,31,67,17
"3","1","1","4",32,79,67,31,81,28
"3","2","1","4",30,85,41,28,64,30
"3","2","1","4",25,86,42,19,73,25
"4","1","1","9",28,87,71,26,88,25
"4","1","0","4",23,88,24,12,63,15
"4","1","0","4",18,89,11,7,13,4
