Rat, Trt, y0, y1,y2,y3,y4
1,1,57,29,28,25,33
2,1,60,33,30,23,31
3,1,52,25,34,33,41
4,1,49,18,33,29,35
5,1,56,25,23,17,30
6,1,46,24,32,29,22
7,1,51,20,23,16,31
8,1,63,28,21,18,24
9,1,49,18,23,22,28
10,1,57,25,28,29,30
11,2,59,26,36,35,35
12,2,54,17,19,20,28
13,2,56,19,33,43,38
14,2,59,26,31,32,29
15,2,57,15,25,23,24
16,2,52,21,24,19,24
17,2,52,18,35,33,33
18,3,61,25,23,11,9
19,3,59,21,21,10,11
20,3,53,26,21,6,27
21,3,59,29,12,11,11
22,3,51,24,26,22,17
23,3,51,24,17,8,19
24,3,56,22,17,8,5
25,3,58,11,24,21,24
26,3,46,15,17,12,17
27,3,53,19,17,15,18



